Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20220803000000,B0001,1,0,F,N,5,F04
20220803000000,Z0002,5,0,F,N,25,C06
20220803000000,D0003,5,0,R3,N,40,C10
20220803000000,G0004,3,0,F,N,15,C03
20220803000000,R0005,3,0,F,N,15,F02
20220803000000,N0006,4,0,F,N,20,C08
20220803000000,G0007,4,0,F,N,20,E02
20220803000000,K0008,0,1,F,N,0,C05
20220803000000,D0009,0,0,F,N,0,F06
20220803000000,C0010,0,0,R2,R,0,B04
20220803000002,B0001,2,0,F,N,15,F09
20220803000002,Z0002,1,0,L2,L,30,C07
20220803000002,D0003,3,0,L3,N,60,C06
20220803000002,G0004,5,0,L1,L,40,C01
20220803000002,R0005,1,0,L3,L,20,F09
20220803000002,N0006,3,0,F,N,35,C09
20220803000002,G0007,3,0,F,N,35,E09
20220803000002,K0008,2,0,R3,R,10,C06
20220803000002,D0009,3,0,F,N,15,F10
20220803000002,C0010,3,0,F,N,15,B05
20220803000004,B0001,4,0,L1,L,10,F04
20220803000004,Z0002,5,0,F,N,55,C10
20220803000004,D0003,2,0,R2,N,70,C08
20220803000004,G0004,1,0,L3,L,45,C01
20220803000004,R0005,0,1,F,N,0,F09
20220803000004,N0006,2,0,F,N,45,C02
20220803000004,G0007,1,0,R3,R,40,E05
20220803000004,K0008,0,1,F,N,0,C09
20220803000004,D0009,1,0,F,N,20,F08
20220803000004,C0010,0,0,F,N,15,B08
20220803000006,B0001,1,0,R2,R,15,F10
20220803000006,Z0002,3,0,F,N,70,C05
20220803000006,D0003,4,0,R2,L,100,C02
20220803000006,G0004,0,3,F,N,0,C02
20220803000006,R0005,0,1,F,N,0,F07
20220803000006,N0006,1,0,L2,L,50,C09
20220803000006,G0007,1,0,F,N,45,E04
20220803000006,K0008,0,1,F,N,0,C03
20220803000006,D0009,1,0,F,N,25,F03
20220803000006,C0010,2,0,F,N,25,B05
20220803000008,B0001,1,0,F,N,20,F08
20220803000008,Z0002,1,0,F,N,75,C09
20220803000008,D0003,2,0,F,N,33,C03
20220803000008,G0004,0,0,R3,R,0,C07
20220803000008,R0005,3,0,F,N,15,F04
20220803000008,N0006,2,0,L2,L,60,C05
20220803000008,G0007,4,0,F,N,65,E03
20220803000008,K0008,1,0,F,N,1,C05
20220803000008,D0009,4,0,F,N,45,F02
20220803000008,C0010,4,0,F,N,13,B04
20220803000010,B0001,1,0,F,N,25,F10
20220803000010,Z0002,1,0,F,N,80,C06
20220803000010,D0003,3,0,L2,N,53,C10
20220803000010,G0004,3,0,F,N,15,C02
20220803000010,R0005,5,0,F,N,40,F10
20220803000010,N0006,0,1,F,N,50,C03
20220803000010,G0007,1,0,L1,L,70,E01
20220803000010,K0008,0,2,F,N,0,C10
20220803000010,D0009,0,0,F,N,45,F04
20220803000010,C0010,1,0,L1,L,18,B02
20220803000012,B0001,1,0,F,N,30,F07
20220803000012,Z0002,1,0,F,N,85,C06
20220803000012,D0003,5,0,F,N,27,C02
20220803000012,G0004,0,0,F,N,15,C06
20220803000012,R0005,5,0,F,N,65,F04
20220803000012,N0006,5,0,F,N,75,C09
20220803000012,G0007,1,0,F,N,75,E01
20220803000012,K0008,3,0,R1,R,15,C10
20220803000012,D0009,1,0,F,N,50,F01
20220803000012,C0010,1,0,R1,R,6,B01
20220803000014,B0001,2,0,F,N,40,F07
20220803000014,Z0002,1,0,F,N,90,C02
20220803000014,D0003,4,0,F,R,57,C08
20220803000014,G0004,3,0,R3,R,30,C07
20220803000014,R0005,0,0,F,N,65,F03
20220803000014,N0006,3,0,F,N,27,C06
20220803000014,G0007,3,0,F,N,90,E01
20220803000014,K0008,1,0,F,N,20,C08
20220803000014,D0009,3,0,F,N,65,F06
20220803000014,C0010,0,0,F,N,6,B07
20220803000016,B0001,4,0,R1,R,60,F01
20220803000016,Z0002,0,2,F,N,70,C08
20220803000016,D0003,3,0,L2,N,77,C04
20220803000016,G0004,1,0,F,N,35,C03
20220803000016,R0005,1,0,L2,L,70,F08
20220803000016,N0006,3,0,F,N,42,C07
20220803000016,G0007,2,0,F,N,100,E01
20220803000016,K0008,1,0,F,N,7,C05
20220803000016,D0009,1,0,R3,R,70,F05
20220803000016,C0010,3,0,F,N,6,B02
20220803000018,B0001,1,0,F,N,65,F07
20220803000018,Z0002,4,0,R1,R,90,C06
20220803000018,D0003,4,0,F,N,32,C10
20220803000018,G0004,0,2,F,N,15,C09
20220803000018,R0005,3,0,F,N,85,F03
20220803000018,N0006,0,2,L3,L,22,C08
20220803000018,G0007,3,0,F,N,115,E06
20220803000018,K0008,0,2,R3,R,0,C05
20220803000018,D0009,3,0,F,N,85,F04
20220803000018,C0010,1,0,F,N,11,B03
20220803000020,B0001,2,0,F,N,75,F10
20220803000020,Z0002,5,0,R1,R,115,C02
20220803000020,D0003,5,0,F,N,72,C03
20220803000020,G0004,2,0,R1,R,25,C01
20220803000020,R0005,0,0,F,N,85,F02
20220803000020,N0006,0,2,F,N,2,C09
20220803000020,G0007,0,2,F,N,95,E02
20220803000020,K0008,4,0,F,N,20,C03
20220803000020,D0009,2,0,L1,L,28,F08
20220803000020,C0010,1,0,F,N,16,B03
20220803000022,B0001,2,0,F,N,85,F06
20220803000022,Z0002,3,0,F,N,130,C09
20220803000022,D0003,3,0,F,R,92,C02
20220803000022,G0004,0,3,R3,R,0,C09
20220803000022,R0005,3,0,L3,L,100,F09
20220803000022,N0006,1,0,F,N,7,C10
20220803000022,G0007,1,0,F,N,100,E02
20220803000022,K0008,1,0,L3,L,25,C06
20220803000022,D0009,0,1,F,N,18,F10
20220803000022,C0010,0,2,F,N,0,B05
20220803000024,B0001,3,0,F,N,100,F06
20220803000024,Z0002,3,0,F,N,43,C03
20220803000024,D0003,1,0,R3,N,97,C02
20220803000024,G0004,1,0,R1,R,5,C02
20220803000024,R0005,1,0,F,N,105,F06
20220803000024,N0006,0,2,F,N,0,C07
20220803000024,G0007,0,1,F,N,90,E08
20220803000024,K0008,0,1,F,N,15,C04
20220803000024,D0009,0,0,R2,R,18,F07
20220803000024,C0010,3,0,F,N,15,B08
20220803000026,B0001,0,2,F,N,80,F09
20220803000026,Z0002,0,2,F,N,23,C05
20220803000026,D0003,3,0,F,N,117,C05
20220803000026,G0004,0,1,L1,L,0,C08
20220803000026,R0005,0,0,F,N,105,F03
20220803000026,N0006,1,0,F,N,5,C05
20220803000026,G0007,4,0,F,N,110,E01
20220803000026,K0008,0,1,R2,R,5,C02
20220803000026,D0009,0,1,F,N,8,F05
20220803000026,C0010,0,0,F,N,15,B10
20220803000028,B0001,0,1,F,N,70,F08
20220803000028,Z0002,4,0,F,N,43,C01
20220803000028,D0003,3,0,F,L,137,C08
20220803000028,G0004,0,2,F,N,0,C09
20220803000028,R0005,2,0,F,N,115,F05
20220803000028,N0006,0,1,R1,R,0,C02
20220803000028,G0007,1,0,F,N,115,E07
20220803000028,K0008,1,0,L1,L,10,C09
20220803000028,D0009,1,0,F,N,13,F09
20220803000028,C0010,1,0,L1,L,6,B05
20220803000030,B0001,0,1,F,N,60,F08
20220803000030,Z0002,0,1,F,N,33,C08
20220803000030,D0003,4,0,R3,N,50,C10
20220803000030,G0004,0,0,L1,L,0,C04
20220803000030,R0005,4,0,R3,R,135,F07
20220803000030,N0006,4,0,R2,R,20,C03
20220803000030,G0007,1,0,F,N,120,E09
20220803000030,K0008,0,0,R1,R,10,C03
20220803000030,D0009,1,0,F,N,18,F06
20220803000030,C0010,0,0,F,N,6,B07
20220803000032,B0001,2,0,F,N,21,F01
20220803000032,Z0002,1,0,F,N,38,C07
20220803000032,D0003,3,0,R2,N,70,C03
20220803000032,G0004,3,0,L1,L,15,C04
20220803000032,R0005,0,2,F,N,115,F10
20220803000032,N0006,0,2,F,N,0,C01
20220803000032,G0007,1,0,F,N,125,E07
20220803000032,K0008,1,0,F,N,15,C10
20220803000032,D0009,0,0,L2,L,18,F04
20220803000032,C0010,1,0,F,N,11,B10
20220803000034,B0001,1,0,F,N,26,F07
20220803000034,Z0002,1,0,L2,L,43,C05
20220803000034,D0003,3,0,L3,N,90,C07
20220803000034,G0004,1,0,L3,L,20,C02
20220803000034,R0005,3,0,F,N,130,F05
20220803000034,N0006,1,0,F,N,5,C04
20220803000034,G0007,0,0,F,N,125,E05
20220803000034,K0008,5,0,R2,R,40,C02
20220803000034,D0009,1,0,L3,L,23,F09
20220803000034,C0010,0,1,F,N,1,B08
20220803000036,B0001,2,0,F,N,36,F04
20220803000036,Z0002,0,1,F,N,33,C09
20220803000036,D0003,1,0,F,R,95,C02
20220803000036,G0004,2,0,R3,R,30,C09
20220803000036,R0005,3,0,R2,R,145,F07
20220803000036,N0006,3,0,F,N,20,C01
20220803000036,G0007,1,0,F,N,130,E04
20220803000036,K0008,3,0,R2,R,55,C05
20220803000036,D0009,0,2,F,N,3,F08
20220803000036,C0010,5,0,F,N,26,B09
20220803000038,B0001,3,0,R1,R,15,F04
20220803000038,Z0002,1,0,F,N,38,C04
20220803000038,D0003,4,0,L3,R,125,C09
20220803000038,G0004,3,0,F,N,45,C03
20220803000038,R0005,1,0,R1,R,150,F09
20220803000038,N0006,1,0,F,N,25,C08
20220803000038,G0007,4,0,F,N,45,E03
20220803000038,K0008,4,0,F,N,75,C06
20220803000038,D0009,1,0,F,N,8,F09
20220803000038,C0010,5,0,F,N,15,B06
20220803000040,B0001,3,0,R2,R,30,F01
20220803000040,Z0002,0,1,F,N,28,C09
20220803000040,D0003,0,2,F,N,115,C05
20220803000040,G0004,2,0,F,N,55,C05
20220803000040,R0005,0,0,F,N,150,F10
20220803000040,N0006,1,0,F,N,30,C05
20220803000040,G0007,1,0,F,N,50,E04
20220803000040,K0008,1,0,F,N,80,C03
20220803000040,D0009,3,0,F,N,23,F01
20220803000040,C0010,1,0,F,N,20,B10
20220803000042,B0001,0,0,F,N,30,F08
20220803000042,Z0002,4,0,F,N,48,C08
20220803000042,D0003,4,0,R3,N,145,C01
20220803000042,G0004,0,0,F,N,55,C05
20220803000042,R0005,3,0,R2,R,165,F05
20220803000042,N0006,2,0,F,N,40,C07
20220803000042,G0007,4,0,F,N,70,E06
20220803000042,K0008,1,0,F,N,85,C02
20220803000042,D0009,1,0,R3,R,28,F02
20220803000042,C0010,0,1,F,N,10,B05
20220803000044,B0001,2,0,F,N,40,F07
20220803000044,Z0002,3,0,F,N,63,C06
20220803000044,D0003,4,0,L3,L,52,C03
20220803000044,G0004,0,0,F,N,55,C04
20220803000044,R0005,1,0,R2,R,170,F05
20220803000044,N0006,0,3,F,N,10,C10
20220803000044,G0007,4,0,F,N,90,E04
20220803000044,K0008,0,1,F,N,75,C03
20220803000044,D0009,4,0,F,N,48,F07
20220803000044,C0010,1,0,F,N,15,B02
20220803000046,B0001,3,0,F,N,55,F04
20220803000046,Z0002,0,1,F,N,53,C10
20220803000046,D0003,3,0,L3,N,72,C07
20220803000046,G0004,1,0,F,N,60,C10
20220803000046,R0005,2,0,L3,L,180,F08
20220803000046,N0006,0,1,F,N,0,C08
20220803000046,G0007,5,0,F,N,115,E06
20220803000046,K0008,1,0,F,N,80,C08
20220803000046,D0009,1,0,R1,R,53,F08
20220803000046,C0010,2,0,F,N,25,B06
20220803000048,B0001,5,0,R1,R,80,F07
20220803000048,Z0002,0,2,F,N,33,C07
20220803000048,D0003,3,0,F,N,92,C02
20220803000048,G0004,0,0,F,N,60,C09
20220803000048,R0005,4,0,F,N,200,F06
20220803000048,N0006,3,0,F,N,15,C03
20220803000048,G0007,5,0,L3,L,140,E05
20220803000048,K0008,3,0,F,N,28,C06
20220803000048,D0009,1,0,R1,R,58,F04
20220803000048,C0010,3,0,F,N,40,B04
20220803000050,B0001,0,0,F,N,80,F04
20220803000050,Z0002,1,0,R3,R,38,C07
20220803000050,D0003,4,0,R3,L,36,C04
20220803000050,G0004,1,0,F,N,65,C03
20220803000050,R0005,0,1,R2,R,190,F01
20220803000050,N0006,5,0,F,N,40,C04
20220803000050,G0007,0,1,F,N,130,E05
20220803000050,K0008,2,0,F,N,38,C08
20220803000050,D0009,1,0,F,N,63,F01
20220803000050,C0010,2,0,L1,L,50,B08
20220803000052,B0001,0,0,F,N,80,F05
20220803000052,Z0002,2,0,F,N,48,C08
20220803000052,D0003,3,0,L2,N,56,C09
20220803000052,G0004,0,1,L3,L,55,C06
20220803000052,R0005,0,0,R1,R,190,F02
20220803000052,N0006,0,0,F,N,12,C07
20220803000052,G0007,0,0,F,N,130,E03
20220803000052,K0008,0,0,F,N,38,C05
20220803000052,D0009,1,0,F,N,68,F03
20220803000052,C0010,0,1,F,N,40,B03
20220803000054,B0001,1,0,F,N,25,F06
20220803000054,Z0002,3,0,F,N,63,C04
20220803000054,D0003,4,0,F,N,86,C09
20220803000054,G0004,1,0,L2,L,60,C02
20220803000054,R0005,1,0,F,N,195,F03
20220803000054,N0006,0,1,F,N,2,C02
20220803000054,G0007,0,0,F,N,130,E01
20220803000054,K0008,2,0,F,N,48,C10
20220803000054,D0009,1,0,R3,R,73,F09
20220803000054,C0010,2,0,F,N,50,B07
20220803000056,B0001,1,0,L2,L,30,F05
20220803000056,Z0002,4,0,F,N,83,C04
20220803000056,D0003,4,0,F,N,116,C10
20220803000056,G0004,1,0,F,N,65,C10
20220803000056,R0005,1,0,F,N,200,F09
20220803000056,N0006,0,0,F,N,2,C01
20220803000056,G0007,0,0,F,N,130,E06
20220803000056,K0008,1,0,L1,L,15,C03
20220803000056,D0009,0,1,F,N,11,F01
20220803000056,C0010,0,0,L3,L,50,B02
20220803000058,B0001,3,0,L1,L,45,F04
20220803000058,Z0002,2,0,F,N,93,C05
20220803000058,D0003,4,0,F,R,146,C02
