Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20220804000000,M0001,4,0,F,N,6,E03
20220804000000,O0002,2,0,F,N,10,D07
20220804000000,Z0003,1,0,L2,L,5,F08
20220804000000,S0004,3,0,F,N,15,F10
20220804000000,D0005,1,0,F,N,5,C01
20220804000000,H0006,1,0,R1,R,5,E06
20220804000000,A0007,3,0,F,N,15,F06
20220804000000,C0008,1,0,R1,R,1,A02
20220804000000,D0009,0,2,F,N,0,E02
20220804000000,Z0010,4,0,F,N,20,B08
20220804000002,M0001,5,0,F,N,31,E02
20220804000002,O0002,1,0,F,N,15,D10
20220804000002,Z0003,1,0,R1,R,10,F01
20220804000002,S0004,1,0,F,N,20,F03
20220804000002,D0005,2,0,F,N,15,C08
20220804000002,H0006,3,0,F,N,20,E08
20220804000002,A0007,3,0,L1,L,30,F04
20220804000002,C0008,1,0,F,N,6,A06
20220804000002,D0009,3,0,L2,N,20,E03
20220804000002,Z0010,0,0,F,N,20,B05
20220804000004,M0001,0,2,F,N,11,E07
20220804000004,O0002,0,1,F,N,5,D09
20220804000004,Z0003,1,0,L2,L,4,F01
20220804000004,S0004,2,0,F,N,30,F02
20220804000004,D0005,2,0,F,N,7,C04
20220804000004,H0006,1,0,L2,L,25,E06
20220804000004,A0007,3,0,F,N,45,F03
20220804000004,C0008,1,0,R3,R,11,A09
20220804000004,D0009,5,0,F,N,60,E05
20220804000004,Z0010,2,0,F,N,30,B01
20220804000006,M0001,0,1,F,N,1,E08
20220804000006,O0002,1,0,F,N,10,D03
20220804000006,Z0003,1,0,L1,L,9,F10
20220804000006,S0004,3,0,F,N,45,F04
20220804000006,D0005,0,1,F,N,0,C04
20220804000006,H0006,0,1,F,N,15,E04
20220804000006,A0007,3,0,R3,R,60,F09
20220804000006,C0008,0,2,F,N,0,A06
20220804000006,D0009,3,0,L1,N,80,E05
20220804000006,Z0010,0,3,F,N,0,B09
20220804000008,M0001,1,0,F,N,6,E01
20220804000008,O0002,4,0,F,N,30,D10
20220804000008,Z0003,0,2,F,N,0,F01
20220804000008,S0004,1,0,F,N,50,F02
20220804000008,D0005,0,2,L3,L,0,C03
20220804000008,H0006,0,0,F,N,15,E01
20220804000008,A0007,5,0,F,N,85,F09
20220804000008,C0008,1,0,F,N,5,A05
20220804000008,D0009,5,0,R2,N,120,E10
20220804000008,Z0010,0,0,F,N,0,B02
20220804000010,M0001,3,0,F,N,21,E02
20220804000010,O0002,2,0,F,N,12,D10
20220804000010,Z0003,0,3,F,N,0,F07
